Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Mohammadi,660000,55,2.0,2.0,1.0,Nouveau
Appartement,Tilila,780000,70,3.0,2.0,1.0,Bon état
Villa,Hay Najah,3400000,200,6.0,8.0,5.0,Bon état
Villa,Hay Houda,3800000,460,8.0,4.0,3.0,À rénover
Appartement,Haut Founty,800000,66,2.0,1.0,1.0,Nouveau
Appartement,Hay Mohammadi,850000,93,3.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,420000,50,1.0,2.0,1.0,Bon état
Villa,Tilila,2500000,131,6.0,3.0,3.0,Bon état
Villa,Cité Adrar,1900000,80,7.0,5.0,3.0,Bon état
Appartement,Hay Houda,880000,88,3.0,2.0,2.0,Bon état
Villa,Hay Najah,3400000,200,8.0,5.0,4.0,Bon état
Appartement,Hay Mohammadi,1250000,114,4.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,530000,52,3.0,2.0,1.0,Bon état
Appartement,Hay Houda,1860000,154,5.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,650000,64,1.0,2.0,2.0,Nouveau
Appartement,Anza,1400000,95,3.0,3.0,2.0,Nouveau
Villa,Hay Dakhla,2400000,170,2.0,5.0,2.0,À rénover
Appartement,Ville Nouvelle,600000,60,2.0,2.0,2.0,Bon état
Appartement,Hay Salam,900000,76,3.0,2.0,1.0,Nouveau
Villa,Hay Dakhla,3300000,370,7.0,4.0,2.0,Bon état
Appartement,Anza,750000,56,2.0,2.0,2.0,Bon état
Appartement,Hay Salam,475000,68,4.0,2.0,1.0,Bon état
Villa,Tilila,3000000,320,7.0,4.0,3.0,Bon état
Appartement,Riad Salam,950000,110,3.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,1387500,111,1.0,3.0,2.0,Nouveau
Villa,Hay Mohammadi,2950000,264,1.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,540000,61,3.0,3.0,1.0,Nouveau
Appartement,Hay Houda,490000,50,3.0,1.0,1.0,Bon état
Villa,Cité Adrar,1000000,64,2.0,2.0,1.0,Nouveau
Appartement,Cité Adrar,350000,52,3.0,3.0,1.0,Nouveau
Villa,Cité Adrar,3200000,80,3.0,3.0,2.0,Nouveau
Appartement,Tilila,380000,52,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,420000,54,1.0,2.0,1.0,Bon état
Appartement,Hay Salam,460000,64,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,570000,60,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,450000,52,3.0,3.0,1.0,Nouveau
Appartement,Hay Dakhla,968000,94,3.0,2.0,1.0,Nouveau
Appartement,Hay Salam,800000,80,7.0,3.0,2.0,Bon état
Appartement,Hay Dakhla,1750000,175,6.0,3.0,3.0,Bon état
Villa,Zone Industrielle Agadir,2400000,80,1.0,1.0,1.0,Bon état
Villa,Hay Massira,2600000,81,3.0,3.0,2.0,Nouveau
Villa,Hay Dakhla,2700000,360,5.0,5.0,4.0,Nouveau
Villa,Hay Houda,1700000,120,3.0,3.0,1.0,Nouveau
Appartement,Secteur Touristique,2000000,120,4.0,4.0,2.0,Nouveau
Appartement,Hay Massira,1200000,83,1.0,2.0,2.0,Bon état
Appartement,Talborjt,630000,58,1.0,3.0,1.0,Bon état
Appartement,Founti,2800000,186,5.0,3.0,3.0,Bon état
Appartement,Riad Salam,1200000,94,1.0,3.0,2.0,Bon état
Appartement,Founti,1700000,94,3.0,2.0,2.0,Nouveau
Appartement,Haut Founty,1245000,83,3.0,2.0,2.0,Nouveau
Appartement,Tilila,800000,72,1.0,2.0,2.0,Bon état
Appartement,Hay Houda,620000,68,3.0,2.0,1.0,Bon état
Appartement,Al Wifaq,900000,76,4.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,850000,94,4.0,3.0,2.0,Nouveau
Appartement,Hay Salam,520000,64,1.0,2.0,1.0,Bon état
Villa,Charaf,1650000,120,1.0,4.0,2.0,Bon état
Villa,Al Wifaq,2000000,120,3.0,3.0,2.0,Nouveau
Appartement,Haut Founty,1440000,97,4.0,4.0,2.0,Nouveau
Villa,Cité Adrar,1600000,67,3.0,3.0,1.0,Nouveau
